-8.140000,	 4.42637061435914e+00,	 1.04062516610714e+00,	 1.04062516610714e+00,	 -1.45247260633584e+01,	
-8.130000,	 4.43637061435914e+00,	 1.03785183554970e+00,	 1.03785183554970e+00,	 -1.45235670966039e+01,	
-8.120000,	 4.44637061435914e+00,	 1.03517471900691e+00,	 1.03517471900692e+00,	 -1.45224453959815e+01,	
-8.110000,	 4.45637061435914e+00,	 1.03259408418821e+00,	 1.03259408418821e+00,	 -1.45535460548317e+01,	
-8.100000,	 4.46637061435914e+00,	 1.03011018915492e+00,	 1.03011018915492e+00,	 -1.45872622114199e+01,	
-8.090000,	 4.47637061435914e+00,	 1.02772328229447e+00,	 1.02772328229448e+00,	 -1.45862547237319e+01,	
-8.080000,	 4.48637061435914e+00,	 1.02543360229557e+00,	 1.02543360229557e+00,	 -1.45852860731543e+01,	
-8.070000,	 4.49637061435914e+00,	 1.02324137812430e+00,	 1.02324137812430e+00,	 -1.45843566224282e+01,	
-8.060000,	 4.50637061435914e+00,	 1.02114682900126e+00,	 1.02114682900126e+00,	 -1.46626479675839e+01,	
-8.050000,	 4.51637061435914e+00,	 1.01915016437960e+00,	 1.01915016437961e+00,	 -1.46617979533879e+01,	
-8.040000,	 4.52637061435914e+00,	 1.01725158392414e+00,	 1.01725158392414e+00,	 -1.46609881492765e+01,	
-8.030000,	 4.53637061435914e+00,	 1.01545127749133e+00,	 1.01545127749133e+00,	 -1.47059763553846e+01,	
-8.020000,	 4.54637061435914e+00,	 1.01374942511032e+00,	 1.01374942511032e+00,	 -1.47052478860218e+01,	
-8.010000,	 4.55637061435914e+00,	 1.01214619696492e+00,	 1.01214619696492e+00,	 -1.47045605127193e+01,	
-8.000000,	 4.56637061435914e+00,	 1.01064175337662e+00,	 1.01064175337662e+00,	 -1.48130589711089e+01,	
-7.990000,	 4.57637061435914e+00,	 1.00923624478852e+00,	 1.00923624478852e+00,	 -1.47544626265160e+01,	
-7.980000,	 4.58637061435914e+00,	 1.00792981175030e+00,	 1.00792981175031e+00,	 -1.48788388147540e+01,	
-7.970000,	 4.59637061435914e+00,	 1.00672258490419e+00,	 1.00672258490419e+00,	 -1.48783183358652e+01,	
-7.960000,	 4.60637061435914e+00,	 1.00561468497186e+00,	 1.00561468497186e+00,	 -1.48778401308615e+01,	
-7.950000,	 4.61637061435914e+00,	 1.00460622274238e+00,	 1.00460622274238e+00,	 -1.49565856341343e+01,	
-7.940000,	 4.62637061435914e+00,	 1.00369729906114e+00,	 1.00369729906114e+00,	 -1.48770112796129e+01,	
-7.930000,	 4.63637061435914e+00,	 1.00288800481973e+00,	 1.00288800481974e+00,	 -1.50527522201033e+01,	
-7.920000,	 4.64637061435914e+00,	 1.00217842094693e+00,	 1.00217842094693e+00,	 -1.50524448304136e+01,	
-7.910000,	 4.65637061435914e+00,	 1.00156861840051e+00,	 1.00156861840051e+00,	 -1.53532104874321e+01,	
